CONSTRAINT_CATALOG,CONSTRAINT_SCHEMA,CONSTRAINT_NAME,TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION
fsp-165587,AzureSync,PK_AzureSyncTablesForCore,fsp-165587,AzureSync,AzureSyncTablesForCore,_RowNumber,1
fsp-165587,AzureSync,PK_AzureSyncTablesForCurriculum,fsp-165587,AzureSync,AzureSyncTablesForCurriculum,_RowNumber,1
fsp-165587,AzureSync,PK_PreviousCoreChangeTrackingVersion,fsp-165587,AzureSync,PreviousCoreChangeTrackingVersion,Id,1
fsp-165587,AzureSync,PK_PreviousCurriculumChangeTrackingVersion,fsp-165587,AzureSync,PreviousCurriculumChangeTrackingVersion,Id,1
fsp-165587,AzureSync,PK_SyncRuns,fsp-165587,AzureSync,SyncRuns,_RowNumber,1
fsp-165587,dbo,PK_AccountingSyncBatches,fsp-165587,dbo,AccountingSyncBatches,_RowNumber,1
fsp-165587,dbo,PK_AccountingSyncBatchTransactions,fsp-165587,dbo,AccountingSyncBatchTransactions,_RowNumber,1
fsp-165587,dbo,PK_AircraftOwners,fsp-165587,dbo,AircraftOwners,_RowNumber,1
fsp-165587,dbo,UK_AircraftOwners,fsp-165587,dbo,AircraftOwners,OperatorId,1
fsp-165587,dbo,UK_AircraftOwners,fsp-165587,dbo,AircraftOwners,AircraftId,2
fsp-165587,dbo,UK_AircraftOwners,fsp-165587,dbo,AircraftOwners,OwnerId,3
fsp-165587,dbo,PK_AircraftRateTypes,fsp-165587,dbo,AircraftRateTypes,_RowNumber,1
fsp-165587,dbo,PK_AircraftTypeCheckOutsHistory,fsp-165587,dbo,AircraftTypeCheckOutsHistory,_RowId,1
fsp-165587,dbo,PK_AuditHistoryEvents,fsp-165587,dbo,AuditHistoryEvents,EventId,1
fsp-165587,dbo,PK_Certifications,fsp-165587,dbo,Certifications,_RowId,1
fsp-165587,dbo,UK_Certifications_CertificationId,fsp-165587,dbo,Certifications,CertificationId,1
fsp-165587,dbo,PK_Closings,fsp-165587,dbo,Closings,_RowNumber,1
fsp-165587,dbo,UK_Closings,fsp-165587,dbo,Closings,ClosingId,1
fsp-165587,dbo,PK_ConsolidatedReservations,fsp-165587,dbo,ConsolidatedReservations,ReservationId,1
fsp-165587,dbo,PK_ConsolidatedReservations,fsp-165587,dbo,ConsolidatedReservations,ResourceId,2
fsp-165587,dbo,PK_CourseCertifications,fsp-165587,dbo,CourseCertifications,_RowId,1
fsp-165587,dbo,UK_CourseCertifications_CourseCertificationId,fsp-165587,dbo,CourseCertifications,CourseCertificationId,1
fsp-165587,dbo,PK_CourseCustomDocumentationChecks,fsp-165587,dbo,CourseCustomDocumentationChecks,_RowId,1
fsp-165587,dbo,PK_CourseDocumentUploads,fsp-165587,dbo,CourseDocumentUploads,_RowNumber,1
fsp-165587,dbo,PK_CourseNames,fsp-165587,dbo,CourseNames,_RowNumber,1
fsp-165587,dbo,UK_CourseNames_OperatorId_CourseId,fsp-165587,dbo,CourseNames,OperatorId,1
fsp-165587,dbo,UK_CourseNames_OperatorId_CourseId,fsp-165587,dbo,CourseNames,CourseId,2
fsp-165587,dbo,PK_CourseProfileDocumentationChecks,fsp-165587,dbo,CourseProfileDocumentationChecks,_RowId,1
fsp-165587,dbo,PK_CourseProfileLessonMinimumTimes,fsp-165587,dbo,CourseProfileLessonMinimumTimes,_RowId,1
fsp-165587,dbo,PK_CourseProfiles,fsp-165587,dbo,CourseProfiles,_RowId,1
fsp-165587,dbo,PK_Courses,fsp-165587,dbo,Courses,_RowId,1
fsp-165587,dbo,UK_Courses_CourseId,fsp-165587,dbo,Courses,CourseId,1
fsp-165587,dbo,PK_CourseTasks,fsp-165587,dbo,CourseTasks,_RowId,1
fsp-165587,dbo,UK_CourseTasks_CourseId_Name,fsp-165587,dbo,CourseTasks,CourseId,1
fsp-165587,dbo,UK_CourseTasks_CourseTaskId,fsp-165587,dbo,CourseTasks,CourseTaskId,1
fsp-165587,dbo,UK_CourseTasks_CourseId_Name,fsp-165587,dbo,CourseTasks,Name,2
fsp-165587,dbo,PK_CourseTimeFields,fsp-165587,dbo,CourseTimeFields,_RowId,1
fsp-165587,dbo,PK_CourseTrackedTimeFields,fsp-165587,dbo,CourseTrackedTimeFields,_RowId,1
fsp-165587,dbo,PK_CustomCancellationReasons,fsp-165587,dbo,CustomCancellationReasons,id,1
fsp-165587,dbo,PK_CustomerAccounts,fsp-165587,dbo,CustomerAccounts,_RowNumber,1
fsp-165587,dbo,UK_CustomerAccounts,fsp-165587,dbo,CustomerAccounts,AccountTransactionId,1
fsp-165587,dbo,PK_CustomLessonTasks,fsp-165587,dbo,CustomLessonTasks,_RowId,1
fsp-165587,dbo,UK_CustomLessonTasks_CustomLessonTaskId,fsp-165587,dbo,CustomLessonTasks,CustomLessonTaskId,1
fsp-165587,dbo,PK_CustomProfileDocumentation,fsp-165587,dbo,CustomProfileDocumentation,_RowId,1
fsp-165587,dbo,UK_CustomProfileDocumentation_CustomProfileDocumentationId,fsp-165587,dbo,CustomProfileDocumentation,CustomProfileDocumentationId,1
fsp-165587,dbo,PK_CustomSquawkResolutions,fsp-165587,dbo,CustomSquawkResolutions,id,1
fsp-165587,dbo,PK_CustomTimeFields_CustomTimeFieldId,fsp-165587,dbo,CustomTimeFields,CustomTimeFieldId,1
fsp-165587,dbo,UK_CustomTimeFields_FieldId,fsp-165587,dbo,CustomTimeFields,FieldId,1
fsp-165587,dbo,UK_CustomTimeFields_OperatorId_Name,fsp-165587,dbo,CustomTimeFields,OperatorId,1
fsp-165587,dbo,UK_CustomTimeFields_OperatorId_Name,fsp-165587,dbo,CustomTimeFields,Name,2
fsp-165587,dbo,PK_DiscountGroups,fsp-165587,dbo,DiscountGroup,_RowNumber,1
fsp-165587,dbo,PK_DiscountGroupPeopleGroupJoiner,fsp-165587,dbo,DiscountGroupPeopleGroupJoiner,DiscountGroupId,1
fsp-165587,dbo,PK_DiscountGroupPeopleGroupJoiner,fsp-165587,dbo,DiscountGroupPeopleGroupJoiner,OperatorId,2
fsp-165587,dbo,PK_DiscountGroupPeopleGroupJoiner,fsp-165587,dbo,DiscountGroupPeopleGroupJoiner,PeopleGroupId,3
fsp-165587,dbo,PK_DiscountGroupRoleJoiner,fsp-165587,dbo,DiscountGroupRoleJoiner,DiscountGroupId,1
fsp-165587,dbo,PK_DiscountGroupRoleJoiner,fsp-165587,dbo,DiscountGroupRoleJoiner,OperatorId,2
fsp-165587,dbo,PK_DiscountGroupRoleJoiner,fsp-165587,dbo,DiscountGroupRoleJoiner,RoleId,3
fsp-165587,dbo,PK_DiscountGroupUserJoiner,fsp-165587,dbo,DiscountGroupUserJoiner,DiscountGroupId,1
fsp-165587,dbo,PK_DiscountGroupUserJoiner,fsp-165587,dbo,DiscountGroupUserJoiner,OperatorId,2
fsp-165587,dbo,PK_DiscountGroupUserJoiner,fsp-165587,dbo,DiscountGroupUserJoiner,UserId,3
fsp-165587,dbo,PK_DocumentUploadBackups,fsp-165587,dbo,DocumentUploadBackups,_RowNumber,1
fsp-165587,dbo,PK_DocumentUploads,fsp-165587,dbo,DocumentUploads,_RowNumber,1
fsp-165587,dbo,PK_Endorsements,fsp-165587,dbo,Endorsements,_RowId,1
fsp-165587,dbo,UK_Endorsements_EndorsementId,fsp-165587,dbo,Endorsements,EndorsementId,1
fsp-165587,dbo,PK_EndorsementsHistory,fsp-165587,dbo,EndorsementsHistory,_RowId,1
fsp-165587,dbo,PK_EnrollmentCreditPreviousTotals,fsp-165587,dbo,EnrollmentCreditPreviousTotals,_RowId,1
fsp-165587,dbo,PK_EnrollmentCredits,fsp-165587,dbo,EnrollmentCredits,_RowId,1
fsp-165587,dbo,UK_EnrollmentCredits_EnrollmentId,fsp-165587,dbo,EnrollmentCredits,EnrollmentId,1
fsp-165587,dbo,PK_EnrollmentDocuments,fsp-165587,dbo,EnrollmentDocuments,_RowId,1
fsp-165587,dbo,PK_EnrollmentInstructors,fsp-165587,dbo,EnrollmentInstructors,_RowId,1
fsp-165587,dbo,PK_Enrollments,fsp-165587,dbo,Enrollments,_RowId,1
fsp-165587,dbo,UK_Enrollments_EnrollmentId,fsp-165587,dbo,Enrollments,EnrollmentId,1
fsp-165587,dbo,PK_EnrollmentsLog,fsp-165587,dbo,EnrollmentsLog,_RowNumber,1
fsp-165587,dbo,PK_EnrollmentTimes,fsp-165587,dbo,EnrollmentTimes,OperatorId,1
fsp-165587,dbo,PK_EnrollmentTimes,fsp-165587,dbo,EnrollmentTimes,EnrollmentId,2
fsp-165587,dbo,PK_EnrollmentTimes,fsp-165587,dbo,EnrollmentTimes,TimeFieldId,3
fsp-165587,dbo,PK_Exams,fsp-165587,dbo,Exams,_RowId,1
fsp-165587,dbo,UK_Exams_ExamId,fsp-165587,dbo,Exams,ExamId,1
fsp-165587,dbo,PK_ExamScoreDocuments,fsp-165587,dbo,ExamScoreDocuments,_RowId,1
fsp-165587,dbo,PK_ExamScores,fsp-165587,dbo,ExamScores,_RowId,1
fsp-165587,dbo,UK_ExamScores_ExamScoreId,fsp-165587,dbo,ExamScores,ExamScoreId,1
fsp-165587,dbo,PK_FlightInstructorCertificate,fsp-165587,dbo,FlightInstructorCertificate,_RowId,1
fsp-165587,dbo,UK_FlightInstructorCertificate,fsp-165587,dbo,FlightInstructorCertificate,UserId,1
fsp-165587,dbo,PK_Headings,fsp-165587,dbo,Headings,_RowId,1
fsp-165587,dbo,UK_Headings_HeadingId,fsp-165587,dbo,Headings,HeadingId,1
fsp-165587,dbo,PK_HistoricalTrainingSessionAirports,fsp-165587,dbo,HistoricalTrainingSessionAirports,_RowId,1
fsp-165587,dbo,UK_HistoricalTrainingSessionAirports_HistoricalTrainingSessionIdAirportIdOrder,fsp-165587,dbo,HistoricalTrainingSessionAirports,HistoricalTrainingSessionId,1
fsp-165587,dbo,UK_HistoricalTrainingSessionAirports_HistoricalTrainingSessionIdAirportIdOrder,fsp-165587,dbo,HistoricalTrainingSessionAirports,AirportId,2
fsp-165587,dbo,UK_HistoricalTrainingSessionAirports_HistoricalTrainingSessionIdAirportIdOrder,fsp-165587,dbo,HistoricalTrainingSessionAirports,Order,3
fsp-165587,dbo,PK_HistoricalTrainingSessionCustomTaskGrades,fsp-165587,dbo,HistoricalTrainingSessionCustomTaskGrades,_RowId,1
fsp-165587,dbo,UK_HistoricalTrainingSessionCustomTaskGrades_HistoricalTrainingSessionIdTaskId,fsp-165587,dbo,HistoricalTrainingSessionCustomTaskGrades,HistoricalTrainingSessionId,1
fsp-165587,dbo,UK_HistoricalTrainingSessionCustomTaskGrades_HistoricalTrainingSessionIdTaskId,fsp-165587,dbo,HistoricalTrainingSessionCustomTaskGrades,TaskId,2
fsp-165587,dbo,PK_HistoricalTrainingSessions,fsp-165587,dbo,HistoricalTrainingSessions,_RowId,1
fsp-165587,dbo,UK_HistoricalTrainingSessions_HistoricalTrainingSessionId,fsp-165587,dbo,HistoricalTrainingSessions,HistoricalTrainingSessionId,1
fsp-165587,dbo,PK_HistoricalTrainingSessionTaskGrades,fsp-165587,dbo,HistoricalTrainingSessionTaskGrades,_RowId,1
fsp-165587,dbo,UK_HistoricalTrainingSessionTaskGrades_HistoricalTrainingSessionIdTaskId,fsp-165587,dbo,HistoricalTrainingSessionTaskGrades,HistoricalTrainingSessionId,1
fsp-165587,dbo,UK_HistoricalTrainingSessionTaskGrades_HistoricalTrainingSessionIdTaskId,fsp-165587,dbo,HistoricalTrainingSessionTaskGrades,TaskId,2
fsp-165587,dbo,PK_HistoricalTrainingSessionTimes,fsp-165587,dbo,HistoricalTrainingSessionTimes,_RowId,1
fsp-165587,dbo,UK_HistoricalTrainingSessionTimes_HistoricalTrainingSessionIdFieldId,fsp-165587,dbo,HistoricalTrainingSessionTimes,HistoricalTrainingSessionId,1
fsp-165587,dbo,UK_HistoricalTrainingSessionTimes_HistoricalTrainingSessionIdFieldId,fsp-165587,dbo,HistoricalTrainingSessionTimes,FieldId,2
fsp-165587,dbo,PK_InstructionTypes,fsp-165587,dbo,InstructionTypes,InstructionTypeId,1
fsp-165587,dbo,PK_InvoiceLocationPreferences,fsp-165587,dbo,InvoiceLocationPreferences,_RowNumber,1
fsp-165587,dbo,PK_InvoicingAccount,fsp-165587,dbo,InvoicingAccount,InvoicingAccountId,1
fsp-165587,dbo,PK_InvoicingAccountPayments,fsp-165587,dbo,InvoicingAccountPayments,_RowId,1
fsp-165587,dbo,UK_InvoicingAccountPayments,fsp-165587,dbo,InvoicingAccountPayments,AccountPaymentId,1
fsp-165587,dbo,PK_LabelCategories,fsp-165587,dbo,LabelCategories,LabelCategoryId,1
fsp-165587,dbo,PK_Labels,fsp-165587,dbo,Labels,LabelId,1
fsp-165587,dbo,PK_LabelToRoleJoiner,fsp-165587,dbo,LabelToRoleJoiner,LabelId,1
fsp-165587,dbo,PK_LabelToRoleJoiner,fsp-165587,dbo,LabelToRoleJoiner,OperatorId,2
fsp-165587,dbo,PK_LabelToRoleJoiner,fsp-165587,dbo,LabelToRoleJoiner,RoleId,3
fsp-165587,dbo,PK_LabelToUserJoiner,fsp-165587,dbo,LabelToUserJoiner,LabelId,1
fsp-165587,dbo,PK_LabelToUserJoiner,fsp-165587,dbo,LabelToUserJoiner,OperatorId,2
fsp-165587,dbo,PK_LabelToUserJoiner,fsp-165587,dbo,LabelToUserJoiner,UserGuid,3
fsp-165587,dbo,PK_LastFlightDate,fsp-165587,dbo,LastFlightDates,_RowNumber,1
fsp-165587,dbo,PK_LastFlightDateByMakeModel,fsp-165587,dbo,LastFlightDatesByMakeModel,_RowNumber,1
fsp-165587,dbo,PK_LastFlightDatesHistory,fsp-165587,dbo,LastFlightDatesHistory,_RowNumber,1
fsp-165587,dbo,PK_LastFlightDateLog,fsp-165587,dbo,LastFlightDatesLog,_RowNumber,1
fsp-165587,dbo,PK_LessonGrades,fsp-165587,dbo,LessonGrades,_RowId,1
fsp-165587,dbo,UK_LessonGrades_LessonGradeId,fsp-165587,dbo,LessonGrades,LessonGradeId,1
fsp-165587,dbo,PK_LessonGradeScales,fsp-165587,dbo,LessonGradeScales,_RowId,1
fsp-165587,dbo,UK_LessonGradeScales_CourseId_Name,fsp-165587,dbo,LessonGradeScales,CourseId,1
fsp-165587,dbo,UK_LessonGradeScales_LessonGradeScaleId,fsp-165587,dbo,LessonGradeScales,LessonGradeScaleId,1
fsp-165587,dbo,UK_LessonGradeScales_CourseId_Name,fsp-165587,dbo,LessonGradeScales,Name,2
fsp-165587,dbo,PK_LessonNames,fsp-165587,dbo,LessonNames,_RowNumber,1
fsp-165587,dbo,UK_LessonNames_OperatorId_CourseId_LessonId,fsp-165587,dbo,LessonNames,OperatorId,1
fsp-165587,dbo,UK_LessonNames_OperatorId_CourseId_LessonId,fsp-165587,dbo,LessonNames,CourseId,2
fsp-165587,dbo,UK_LessonNames_OperatorId_CourseId_LessonId,fsp-165587,dbo,LessonNames,LessonId,3
fsp-165587,dbo,PK_Lessons,fsp-165587,dbo,Lessons,_RowId,1
fsp-165587,dbo,UK_Lessons_LessonId,fsp-165587,dbo,Lessons,LessonId,1
fsp-165587,dbo,PK_LessonTasks,fsp-165587,dbo,LessonTasks,_RowId,1
fsp-165587,dbo,UK_LessonTasks_LessonTaskId,fsp-165587,dbo,LessonTasks,LessonTaskId,1
fsp-165587,dbo,PK_LessonTrackedTimeFields,fsp-165587,dbo,LessonTrackedTimeFields,_RowId,1
fsp-165587,dbo,PK_MaintenanceReminderResolutions,fsp-165587,dbo,MaintenanceReminderResolutions,_RowId,1
fsp-165587,dbo,UK_MaintenanceReminderResolutions_ResolutionId,fsp-165587,dbo,MaintenanceReminderResolutions,ResolutionId,1
fsp-165587,dbo,PK_MaintenanceReminders,fsp-165587,dbo,MaintenanceReminders,_RowId,1
fsp-165587,dbo,UK_MaintenanceReminders,fsp-165587,dbo,MaintenanceReminders,OperatorId,1
fsp-165587,dbo,UK_MaintenanceReminders,fsp-165587,dbo,MaintenanceReminders,ReminderId,2
fsp-165587,dbo,PK_MaintenanceReminderTemplates,fsp-165587,dbo,MaintenanceReminderTemplates,_RowId,1
fsp-165587,dbo,UK_MaintenanceReminderTemplates,fsp-165587,dbo,MaintenanceReminderTemplates,TemplateId,1
fsp-165587,dbo,UK_MaintenanceReminderTemplates,fsp-165587,dbo,MaintenanceReminderTemplates,OperatorId,2
fsp-165587,dbo,PK_MassEmailAttachments,fsp-165587,dbo,MassEmailAttachments,_rowId,1
fsp-165587,dbo,PK_MassEmailPeopleGroupIds,fsp-165587,dbo,MassEmailPeopleGroupIds,_RowId,1
fsp-165587,dbo,PK_MassEmailRoleIds,fsp-165587,dbo,MassEmailRoleIds,_RowId,1
fsp-165587,dbo,UK_MassEmailRoleIds_MassEmailId_RoleId,fsp-165587,dbo,MassEmailRoleIds,MassEmailId,1
fsp-165587,dbo,UK_MassEmailRoleIds_MassEmailId_RoleId,fsp-165587,dbo,MassEmailRoleIds,RoleId,2
fsp-165587,dbo,PK_MassEmails,fsp-165587,dbo,MassEmails,_rowId,1
fsp-165587,dbo,UK_MassEmails_MassEmailId,fsp-165587,dbo,MassEmails,MassEmailId,1
fsp-165587,dbo,PK_MassEmailUserIds,fsp-165587,dbo,MassEmailUserIds,_RowId,1
fsp-165587,dbo,UK_MassEmailUserIds_MassEmailId_UserId,fsp-165587,dbo,MassEmailUserIds,MassEmailId,1
fsp-165587,dbo,UK_MassEmailUserIds_MassEmailId_UserId,fsp-165587,dbo,MassEmailUserIds,UserId,2
fsp-165587,dbo,PK_MeetingRooms,fsp-165587,dbo,MeetingRooms,_RowNumber,1
fsp-165587,dbo,PK_MembershipSettings,fsp-165587,dbo,MembershipSettings,_RowNumber,1
fsp-165587,dbo,PK_MembershipSubscriptions,fsp-165587,dbo,MembershipSubscriptions,_RowNumber,1
fsp-165587,dbo,PK_MembershipSubscriptionsHistory,fsp-165587,dbo,MembershipSubscriptionsHistory,_RowNumber,1
fsp-165587,dbo,PK__MeterRec__94D7B0A4B23CE40E,fsp-165587,dbo,MeterRecordSegments,_RowId,1
fsp-165587,dbo,PK_OperatorAirportIdentifiers,fsp-165587,dbo,OperatorAirportIdentifiers,_RowId,1
fsp-165587,dbo,UK_OperatorAirportIdentifiers_OperatorIdAirportId,fsp-165587,dbo,OperatorAirportIdentifiers,OperatorId,1
